,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,,,,,,,,,,,,,A0250GREY20L-18 Ltr N.C. PRIMER SURFACER GREY,,,4,260,1040,5,42.64,895.44,,,,187.2,
,,,,,,,,,,,,,,,A024008904L-3.6 L N.C. AUTO LACQUER TOP COAT BLACK,,,12,58,696,5,28.54,599.26,,,,125.28,
,,,,,,,,,,,,,,,A024007524L-3.6 Ltr NC AUTO LACQER CHOCLATE,,,12,64,768,5,31.49,661.25,,,,138.24,
,,,,,,,,,,,,,,,A024002954L-3.6 Lbr N.C. AUTO LACQUER TOP COAT MINERVA GREY,,,4,64,256,5,10.5,220.42,,,,40.08,
,,,,,,,,,,,,,,,A024008004L-3.6 Ltr N.C. AUTO LACQUER TOP COAT WHITE,,,12,58,696,5,28.54,599.26,,,,125.28,
,,,,,,,,,,,,,,,A024008094L-3.6L N.C. AUTO LACQUER TOP COAT OFF WHITE,,,12,64,768,5,31.49,661.25,,,,138.34,
,,,,,,,,,,,,,,,A024MT8904L-3.6 Lb N.C. AUTO LACQUER TOP COAT MATT BLACK,,,8,58,464,5,19.02,399.5,,,,83.52,
,,,,,,,,,,,,,,,A024008124L-3.6 Ltr N.C. AUTO LACQUER TOP COAT PALE CREAM,,,12,64,768,5,31.49,661.25,,,,138.24,
,,,,,,,,,,,,,,,A024008154L-3.6 Ltr N.C. AUTO LACQUER TOP COAT CREAM,,,3,64,192,5,7.87,165.31,,,,34.56,
,,,,,,,,,,,,,,,A024008004L-3.6 Ltr N.C. AUTO LACQUER TOP COAT WHITE,,,3,58,174,5,0,0,,,,174,
,,,,,,,,,,,,,,,A024008154L-3.6 Lbr N.C. AUTO LACQUER TOP COAT CREAM,,,1,64,64,5,2.62,55.1,,,,11.52,
,,,,,,,,,,,,,,,A024002964L-3.6 Lb N.C. AUTO LACQUER TOP COAT CHARCOAL,,,4,64,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A026008004L-3.6 Ltr N.C. PUTTY WHITE,,,4,50,200,5,8.2,172.2,,,,36,
,,,,,,,,,,,,,,,A024007521L-0.9 Ltr N.C. AUTO LACQUER TOP COAT CHOCOLATE,,,10,18,180,5,7.38,154.98,,,,32.4,
,,,,,,,,,,,,,,,A024MT8901L0.9 Ltr N.C. AUTO LACQUER TOP COAT MATT BLACK,,,8,16.5,132,5,5.41,113.65,,,,23.76,
,,,,,,,,,,,,,,,A024008121L -0.9 Ltr N.C. AUTO LACQUER TOP COAT PALE CREAM,,,8,18,144,5,5.9,123.98,,,,25.92,
,,,,,,,,,,,,,,,A024008151L-0.9 Ltr N.C. AUTO LACQUER TOP COAT CREAM,,,8,18,144,5,5.9,123.98,,,,25.92,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,16.03.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,March,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,5604496,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A001008004L-3.6 Ltr PLASTIC EMULSION WHITE,,,20,16,320,5,13.12,275.52,,,,57.6,
,,,,,,,,,,,,,,,A001008004L-3.6 Ltr PLASTIC EMULSION WHITE,,,4,16,64,5,0,0,,,,64,
,,,,,,,,,,,,,,,A001008004L-3.6 Ltr PLASTIC EMULSION WHITE,,,2,16,32,5,0,0,,,,32,
,,,,,,,,,,,,,,,A180008904L-3.6 Ltr FLAT/MATT SYNTHETIC ENAMEL GLOSS-II BLACK,,,10,56,560,5,22.96,482.16,,,,100.8,
,,,,,,,,,,,,,,,A0700080020L-18 Ltr MINITEX WHITE,,,5,140,700,5,28.7,602.7,,,,126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,16.03.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,March,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,5602994,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0040080020L- -18 Ltr SYNTHETIC ENAMEL GLOSS I WHITE,,,10,240,2400,5,98.4,2066.4,,,,432,
,,,,,,,,,,,,,,,A0040089020L-18 Ltr SYNTHETIC ENAMEL GLOSS I BLACK,,,5,240,1200,5,49.2,1033.2,,,,216,
,,,,,,,,,,,,,,,A0040080920L-18 Ltr SYNTHETIC ENAMEL GLOSS I OFF WHITE,,,10,240,2400,5,98.4,2066.4,,,,432,
,,,,,,,,,,,,,,,A0040080020L-18 Ltr SYNTHETIC ENAMEL GLOSS I WHITE,,,5,240,1200,5,0,0,,,,1200,
,,,,,,,,,,,,,,,A004008904L-3.6 Ltr SYNTHETIC ENAMEL GLOSS I BLACK,,,15,52,780,5,31.98,671.58,,,,140.4,
,,,,,,,,,,,,,,,A004008004L-3.6 Ltr SYNTHETIC ENAMEL GLOSS I WHITE,,,3,52,156,5,0,0,,,,156,
,,,,,,,,,,,,,,,A00900RED20L-18 Ltr NATIONAL RED OXIDE PRIMER,,,15,135,2025,5,83.03,1743.53,,,,364.5,
,,,,,,,,,,,,,,,A00900RED20L-18 Ltr NATIONAL RED OXIDE PRIMER,,,1,135,135,5,0,0,,,,135,
,,,,,,,,,,,,,,,A00900RED4L-3.6 Ltr NATIONAL RED OXIDE PRIMER,,,15,32,480,5,19.68,413.28,,,,86.4,
,,,,,,,,,,,,,,,A00900RED4L-3.6 Lbr NATIONAL RED OXIDE PRIMER,,,1,32,32,5,0,0,,,,32,
,,,,,,,,,,,,,,,A00900RED1L -0.9 Ltr NATIONAL RED OXIDE PRIMER,,,10,9.5,95,5,3.9,81.8,,,,17.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,07.02.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,March,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2312513,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0010080120L-18 Lt PLASTIC EMULSION OFF WHITE,,,16,58,928,5,38.05,799.01,,,,167.04,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE,,,2,58,116,5,0,0,,,,116,
,,,,,,,,,,,,,,,A023008004L-3.6 Lt POLLYDEX WATER PROOFING,,,16,34,544,5,22.3,468.38,,,,97.92,
,,,,,,,,,,,,,,,A023008004L-3.6 Ltr POLLYDEX WATER PROOFING,,,2,34,68,5,0,0,,,,68,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE,,,16,58,928,5,38.05,799.01,,,,167.04,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE,,,2,58,116,5,0,0,,,,116,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE A015008004L-3.6 Ltr,,,16,16,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A015008004L-3.6 Ltr PVA PRIMER WHITE FOR MASONARY,,,2,16,32,5,0,0,,,,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,02.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2282920,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A00110080020L-18 Ltr PLASTIC EMULSION WHITE,,,20,58,1160,5,47.56,998.76,,,,208.8,
,,,,,,,,,,,,,,,A00110080020L-18 Ltr PLASTIC EMULSION WHITE,,,2,58,116,5,0,0,,,,116,
,,,,,,,,,,,,,,,A001008004L-3.6 Ltr PLASTIC EMULSION WHITE,,,20,16,320,5,13.12,275.52,,,,57.6,
,,,,,,,,,,,,,,,A001008004L-3.6 Ltr PLASTIC EMULSION WHITE,,,2,16,32,5,0,0,,,,32,
,,,,,,,,,,,,,,,A017008004L-3.6 Ltr STUCCO FILLER,,,30,17,510,5,20.91,439.11,,,,91.8,
,,,,,,,,,,,,,,,A017008004L-3.6 Ltr STUCCO FILLER,,,3,17,51,5,0,0,,,,51,
,,,,,,,,,,,,,,,A002008004L-3.6 Ltr MATT EMULSION WHITE,,,10,33,330,5,13.53,284.13,,,,59.4,
,,,,,,,,,,,,,,,A002008004L-3.6 Ltr MATT EMULSION WHITE,,,1,33,33,5,0,0,,,,33,
,,,,,,,,,,,,,,,A002008014L-3.6 Ltr MATT EMULSION OFF WHITE,,,10,33,330,5,13.53,284.13,,,,59.4,
,,,,,,,,,,,,,,,A0232008004L-3.6 Ltr MATT EMULSION WHITE,,,1,33,33,5,0,0,,,,33,
,,,,,,,,,,,,,,,A023008004L-3.6 Ltr POLLYDEX WATER PROOFING,,,10,34,340,5,13.94,292.74,,,,61.2,
,,,,,,,,,,,,,,,"A023008004L - 3,6 Ltr POLLYDEX WATER PROOFING",,,1,34,34,5,0,0,,,,34,
,,,,,,,,,,,,,,,A004008094L-3.6Ltr SYNTHETIC ENAMEL GLOSS I OFF WHITE,,,10,52,520,5,21.32,447.72,,,,93.6,
,,,,,,,,,,,,,,,A004008004L-3.6Ltr SYNTHETIC ENAMEL GLOSS I OFF WHITE,,,1,52,52,5,0,0,,,,52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,06.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2284079,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0020080020L-18 Ltr MATT EMULSION WHITE,,,5,135,675,5,27.68,581.18,,,,121.5,
,,,,,,,,,,,,,,,A0020080120L-18 Ltr MATT MEMULSION OFF WHITE,,,5,135,675,5,27.68,581.18,,,,121.5,
,,,,,,,,,,,,,,,A00900RED20L-18 Ltr NATIONAL RED OXIDE PRIMER,,,3,135,405,5,16.61,348.71,,,,72.9,
,,,,,,,,,,,,,,,A0040080020L-18 Ltr SYNTHETIC ENAMEL GLOSS I WHITE,,,3,240,720,5,29.52,619.92,,,,129.6,
,,,,,,,,,,,,,,,A0040080920L-18 Ltr SYNTHETIC ENAMEL GLOSS I OFF WHITE,,,3,240,720,5,29.52,619.92,,,,129.6,
,,,,,,,,,,,,,,,A00900RED4L - 3.6 Ltr NATIONAL RED OXIDE PRIMER,,,8,32,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A009GREY4L-3.6 Ltr NATIONAL GREY OXIDE PRIMER,,,4,46,184,5,7.54,158.42,,,,33.12,
,,,,,,,,,,,,,,,A00900RED1L -0.9 Ltr NATIONAL RED OXIDE PRIMER,,,12,9.5,114,5,4.67,98.15,,,,20.52,
,,,,,,,,,,,,,,,A004008001L -0.9 Ltr SYNTHETIC ENAMEL GLOSS I WHITE,,,12,14,168,5,6.89,144.65,,,,30.24,
,,,,,,,,,,,,,,,A004008091L-0.9 Ltr SYNTHETIC ENAMEL GLOSS I OFF WHITE,,,12,14,168,5,6.89,144.65,,,,30.24,
,,,,,,,,,,,,,,,A051003484L-3.6 Ltr ROAD MARKER YELLOW,,,4,55,220,5,9.02,189.42,,,,39.6,
,,,,,,,,,,,,,,,A051008004L-3.6 Lbr ROAD MARKER WHITE,,,4,55,220,5,9.02,188.42,,,,39.6,
,,,,,,,,,,,,,,,A031000004L-3.6 Ltr RUST REMOVER,,,10,60,600,5,24.6,516.6,,,,108,
,,,,,,,,,,,,,,,A032000004L-3.6 Ltr RUST REMOVER,,,10,60,600,5,24.6,516.6,,,,108,
,,,,,,,,,,,,,,,A024006704L-3.6 Ltr N.C. AUTO LACQUER TOP COAT VERMILION,,,4,64,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A024006701L -0.9 Ltr N.C. AUTO LACQUER TOP COAT VERMILION,,,12,18,216,5,8.86,185.98,,,,38.88,
,,,,,,,,,,,,,,,A0250GREY20L-18 Lt N.C. PRIMER SURFACER GREY,,,2,260,520,5,21.32,447.72,,,,93.6,
,,,,,,,,,,,,,,,A0250GREY4L-3.6 Ltr N.C. PRIMER SURFACER GREY,,,20,54,1080,5,44.28,929.88,,,,194.4,
,,,,,,,,,,,,,,,A0250GREY1L -0.9 Ltr N.C. PRIMER SURFACER GREY,,,12,14,168,5,6.89,144.65,,,,30.24,
,,,,,,,,,,,,,,,A024008904L - 3.6 Ltr N.C. AUTO LACQUER TOP COAT BLACK,,,6,58,348,5,14.27,299.63,,,,62.64,
,,,,,,,,,,,,,,,A024008901L -0.9 Ltr N.C. AUTO LACQUER TOP COAT BLACK,,,12,16.5,198,5,8.12,170.48,,,,35.64,
,,,,,,,,,,,,,,,A024003454L-3.6 Ltr SYNTHETIC ENAMEL GLOSS I LEMON,,,4,52,208,5,8.53,179.09,,,,37.44,
,,,,,,,,,,,,,,,A024003451L -0.9 Ltr N.C. AUTO LACQUER TOP COAT LEMON,,,12,18,216,5,8.86,185.98,,,,38.88,
,,,,,,,,,,,,,,,A026008004L-3.6 Ltr N.C. PUTTY WHITE,,,4,50,200,5,8.2,172.2,,,,36,
,,,,,,,,,,,,,,,A026008001L-0.9 Ltr N.C. PUTTY WHITE,,,12,14,168,5,6.89,144.65,,,,30.24,
,,,,,,,,,,,,,,,A024008004L-3.6 Ltr AUTO LACQUER TOP COAT WHITE,,,6,58,348,5,14.27,299.63,,,,62.64,
,,,,,,,,,,,,,,,A024008001L-0.9 Ltr N.C. AUTO LACQUER TOP COAT WHITE,,,12,16.5,198,5,8.12,170.48,,,,35.64,
,,,,,,,,,,,,,,,A024008094L-3.6 Ltr N.C. AUTO LACQUER TOP COAT OFF WHITE,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A024008091L- 0.9 Ltr N.C. AUTO LACQUER TOP COAT OFF WHITE,,,12,18,216,5,8.86,185.98,,,,38.88,
,,,,,,,,,,,,,,,A024MT8904L 3.6 Ltr N.C. AUTO LACQUER TOP COAT MATT BLACK,,,4,58,232,5,9.51,199.75,,,,41.76,
,,,,,,,,,,,,,,,A024004404L-3.6 Ltr N.C. AUTO LACQUER TOP COAT ROYAL BLUE,,,4,64,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A024008124L-3.6 Ltr N.C. AUTO LACQUER TOP COAT PALE CREAM,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A024007524L-3.6 Ltr NC AUTO LACQER CHOCLATE,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A024007521L -0.9 Ltr N.C. AUTO LACQUER TOP COAT CHOCOLATE,,,12,18,216,5,8.86,185.98,,,,38.88,
,,,,,,,,,,,,,,,A024002924L-3.6 Ltr N.C. AUTO LACQUER TOP COAT DYRO GREY,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A024008104L-3.6 Ltr N.C. AUTO LACQUER TOP COAT BROKEN WHITE,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A024007574L-3.6 Ltr N.C. AUTO LACQUER TOP COAT MAROON,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A0240D6504L-3.6 Ltr N.C. AUTO LACQUER TOP COAT OLD 650,,,6,64,384,5,15.74,330.62,,,,69.12,
,,,,,,,,,,,,,,,A024007434L-3.6 Ltr N.C. AUTO LACQUER TOP COAT GOLDEN BROWN,,,4,64,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A024003484L-3.6 Ltr N.C. AUTO LACQUER TOP COAT YELLOW,,,4,64,256,5,10.5,220.42,,,,46.08,
,,,,,,,,,,,,,,,A0240D6501L -0.9 Ltr N.C. AUTO LACQUER TOP COAT OLD 650,,,12,18,216,5,8.86,185.98,,,,38.88,
,,,,,,,,,,,,,,,A0260GREY4L-3.6 Ltrn N.C. PUTTY GREY,,,4,50,200,5,8.2,172.2,,,,36,
,,,,,,,,,,,,,,,A0260GREY 1L -0.9 Ltr N.C. PUTTY GREY,,,12,14,168,5,6.89,144.65,,,,30.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,02.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2283675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0020080020L-18 Ltr MATT EMULSION WHITE,,,24,15,360,5,14.76,309.96,,,,64.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,06.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2284915,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0210080020L-18Ltr NATIONAL NUTEX WHITE,,,3,116,348,5,14.27,299.63,,,,62.64,
,,,,,,,,,,,,,,,A021008004L-3.6Ltr NATIONAL NUTEX WHITE,,,6,28,168,5,6.89,144.65,,,,30.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,01.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2282218,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0040034520L - 18 Ltr SYNTHETIC ENAMEL GLOSS I LEMON,,,6,240,1440,5,59.04,1239.84,,,,259.2,
,,,,,,,,,,,,,,,A1250000020L-18Ltr NATIONAL LACQUER THINNER,,,3,160,480,5,19.68,413.28,,,,86.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,02.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2283252,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A16700800K-1KG NATIONAL SPRAY PLASTER FINE,,,500,1.26,630,5,25.83,542.43,,,,113.4,
,,,,,,,,,,,,,,,A16700800K-1KG NATIONAL SPRAY PLASTER FINE,,,25,1.26,31.5,5,0,0,,,,31.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,02.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2283251,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A1250000020L-18Ltr NATIONAL LACQUER THINNER,,,15,160,2400,5,98.4,2066.4,,,,432,
,,,,,,,,,,,,,,,A1250000020L-18Ltr NATIONAL LACQUER THINNER,,,1,160,160,5,0,0,,,,160,
,,,,,,,,,,,,,,,A125000004L-3.6Ltr NATIONAL LACQUER THINNER,,,30,36,194.4,5,44.28,929.88,,,,194.4,
,,,,,,,,,,,,,,,A125000004L-3.6Ltr NATIONAL LACQUER THINNER,,,2,36,72,5,0,0,,,,72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,17.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2297362,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0020080120L-18Ltr MATT EMULSION OFF WHITE,,,16,135,2160,5,88.56,1859.76,,,,388.8,
,,,,,,,,,,,,,,,A0020080020L-18Ltr MATT EMULSION WHITE,,,2,135,270,5,0,0,,,,270,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,17.12.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,December,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2296790,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A125000004L-3.6 Ltr NATIONAL LACQUER THINNER,,,20,36,1080,5,44.28,929.88,,,,194.4,
,,,,,,,,,,,,,,,A125000004L-3.6 Ltr NATIONAL LACQUER THINNER,,,2,36,72,5,0,0,,,,72,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE,,,8,58,464,5,19.02,399.5,,,,83.52,
,,,,,,,,,,,,,,,A0010080020L-18 Lb PLASTIC EMULSION WHITE,,,1,58,58,5,0,0,,,,58,
,,,,,,,,,,,,,,,A0020080020L-18 Ltr MATT EMULSION WHITE,,,16,135,2160,5,88.56,1859.76,,,,388,
,,,,,,,,,,,,,,,A0020080020L-18 Ltr MATT EMULSION WHITE,,,2,135,270,5,0,0,,,,270,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,02.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2284076,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0010080120L-18 Ltr PLASTIC EMULSION OFF WHITE,,,20,58,1160,5,47.56,998.76,,,,208.8,
,,,,,,,,,,,,,,,A0010080020L-18 Ltr PLASTIC EMULSION WHITE,,,2,58,116,5,0,0,,,,116,
,,,,,,,,,,,,,,,A001008014L-3.6 Ltr PLASTIC EMULSION OFF WHITE,,,20,16,320,5,13.12,275.52,,,,57.6,
,,,,,,,,,,,,,,,A001008004L-3.6 Ltr PLASTIC EMULSION WHITE,,,2,16,32,5,0,0,,,,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,13.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,2286335,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,Disc/P Unit,
,,,,,,,,,,,,,,,A0170080020L-18Ltr STUCCO FILLER,,,10,62,620,5,25.42,533.82,,,,111.6,
,,,,,,,,,,,,,,,A31900890P-280 Gms NATIONAL SPRAY PAINT BLACK GLOSS 201 (280GMS),,,120,2.9,348,5,14.27,299.63,,,,62.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
